ID_Loja;Data; CST MERC ; Valor_Diario_Rateado 
1;01/01/2025; R$ 5.282,73 ;R$ 123,07
1;02/01/2025; R$ 7.641,99 ;R$ 123,07
1;03/01/2025; R$ 5.903,51 ;R$ 123,07
1;04/01/2025; R$ 8.277,64 ;R$ 123,07
1;05/01/2025; R$ 4.385,08 ;R$ 123,07
1;06/01/2025; R$ 7.253,34 ;R$ 123,07
1;07/01/2025; R$ 8.096,91 ;R$ 123,07
1;08/01/2025; R$ 7.611,42 ;R$ 123,07
1;09/01/2025; R$ 6.773,67 ;R$ 123,07
1;10/01/2025; R$ 5.847,49 ;R$ 123,07
1;11/01/2025; R$ 8.537,06 ;R$ 123,07
1;12/01/2025; R$ 4.656,82 ;R$ 123,07
1;13/01/2025; R$ 5.524,47 ;R$ 123,07
1;14/01/2025; R$ 6.763,24 ;R$ 123,07
1;15/01/2025; R$ 4.433,86 ;R$ 123,07
1;16/01/2025; R$ 8.819,14 ;R$ 123,07
1;17/01/2025; R$ 7.478,28 ;R$ 123,07
1;18/01/2025; R$ 7.653,40 ;R$ 123,07
1;19/01/2025; R$ 4.726,91 ;R$ 123,07
1;20/01/2025; R$ 5.726,23 ;R$ 123,07
1;21/01/2025; R$ 6.263,17 ;R$ 123,07
1;22/01/2025; R$ 5.863,88 ;R$ 123,07
1;23/01/2025; R$ 5.383,45 ;R$ 123,07
1;24/01/2025; R$ 6.744,06 ;R$ 123,07
1;25/01/2025; R$ 6.354,66 ;R$ 123,07
1;26/01/2025; R$ 4.808,91 ;R$ 123,07
1;27/01/2025; R$ 7.401,15 ;R$ 123,07
1;28/01/2025; R$ 7.262,90 ;R$ 123,07
1;29/01/2025; R$ 10.140,84 ;R$ 123,07
1;30/01/2025; R$ 11.432,61 ;R$ 123,07
1;31/01/2025; R$ 8.149,43 ;R$ 123,07
1;01/02/2025; R$ 11.875,55 ;R$ 89,52
1;02/02/2025; R$ 6.509,73 ;R$ 89,52
1;03/02/2025; R$ 8.156,70 ;R$ 89,52
1;04/02/2025; R$ 8.484,54 ;R$ 89,52
1;05/02/2025; R$ 7.292,37 ;R$ 89,52
1;06/02/2025; R$ 6.294,00 ;R$ 89,52
1;07/02/2025; R$ 10.785,34 ;R$ 89,52
1;08/02/2025; R$ 7.046,25 ;R$ 89,52
1;09/02/2025; R$ 5.193,29 ;R$ 89,52
1;10/02/2025; R$ 6.868,62 ;R$ 89,52
1;11/02/2025; R$ 8.065,47 ;R$ 89,52
1;12/02/2025; R$ 7.926,26 ;R$ 89,52
1;13/02/2025; R$ 7.236,47 ;R$ 89,52
1;14/02/2025; R$ 5.575,43 ;R$ 89,52
1;15/02/2025; R$ 10.259,49 ;R$ 89,52
1;16/02/2025; R$ 4.975,59 ;R$ 89,52
1;17/02/2025; R$ 6.431,13 ;R$ 89,52
1;18/02/2025; R$ 7.958,53 ;R$ 89,52
1;19/02/2025; R$ 5.419,28 ;R$ 89,52
1;20/02/2025; R$ 6.258,82 ;R$ 89,52
1;21/02/2025; R$ 6.821,38 ;R$ 89,52
1;22/02/2025; R$ 8.147,16 ;R$ 89,52
1;23/02/2025; R$ 5.008,92 ;R$ 89,52
1;24/02/2025; R$ 6.676,87 ;R$ 89,52
1;25/02/2025; R$ 7.217,99 ;R$ 89,52
1;26/02/2025; R$ 8.366,89 ;R$ 89,52
1;27/02/2025; R$ 8.846,04 ;R$ 89,52
1;28/02/2025; R$ 10.508,81 ;R$ 89,52
1;01/03/2025; R$ 9.142,85 ;R$ 75,07
1;02/03/2025; R$ 7.111,17 ;R$ 75,07
1;03/03/2025; R$ 8.123,81 ;R$ 75,07
1;04/03/2025; R$ 6.500,20 ;R$ 75,07
1;05/03/2025; R$ 7.435,80 ;R$ 75,07
1;06/03/2025; R$ 8.961,82 ;R$ 75,07
1;07/03/2025; R$ 9.475,80 ;R$ 75,07
1;08/03/2025; R$ 8.217,89 ;R$ 75,07
1;09/03/2025; R$ 5.476,98 ;R$ 75,07
1;10/03/2025; R$ 8.607,26 ;R$ 75,07
1;11/03/2025; R$ 8.179,83 ;R$ 75,07
1;12/03/2025; R$ 8.365,58 ;R$ 75,07
1;13/03/2025; R$ 7.737,52 ;R$ 75,07
1;14/03/2025; R$ 5.968,06 ;R$ 75,07
1;15/03/2025; R$ 11.691,25 ;R$ 75,07
1;16/03/2025; R$ 5.094,19 ;R$ 75,07
1;17/03/2025; R$ 6.718,43 ;R$ 75,07
1;18/03/2025; R$ 7.302,56 ;R$ 75,07
1;19/03/2025; R$ 7.863,13 ;R$ 75,07
1;20/03/2025; R$ 8.564,25 ;R$ 75,07
1;21/03/2025; R$ 7.611,37 ;R$ 75,07
1;22/03/2025; R$ 7.765,38 ;R$ 75,07
