Lojas;Dias - Janeiro;Dias - Fevereiro;Dias - Março;Dias - Abril;Dias - Maio;Dias - Junho;Dias - Julho;Dias - Agosto;Dias - Setembro
1;R$ 123,07;R$ 89,52;R$ 75,07;R$ 58,60;R$ 64,54;R$ 87,32;R$ 38,26;R$ 70,24;R$ 52,43
2;R$ 105,21;R$ 70,60;R$ 135,32;R$ 81,26;R$ 102,00;R$ 82,02;R$ 50,10;R$ 69,77;R$ 76,62
3;R$ 99,73;R$ 101,88;R$ 107,09;R$ 59,28;R$ 42,23;R$ 58,89;R$ 63,99;R$ 68,85;R$ 49,75
4;R$ 132,99;R$ 112,40;R$ 63,26;R$ 131,76;R$ 117,90;R$ 67,48;R$ 85,26;R$ 127,23;R$ 63,92
5;R$ 103,52;R$ 121,90;R$ 84,75;R$ 86,85;R$ 76,59;R$ 159,47;R$ 66,09;R$ 57,80;R$ 57,60
6;R$ 63,71;R$ 50,23;R$ 85,72;R$ 46,06;R$ 48,73;R$ 83,58;R$ 61,44;R$ 56,16;R$ 58,80
7;R$ 352,41;R$ 343,66;R$ 198,06;R$ 689,69;R$ 918,78;R$ 1.036,12;R$ 781,55;R$ 927,15;R$ 969,98
8;R$ 237,48;R$ 213,90;R$ 192,56;R$ 189,52;R$ 115,54;R$ 139,10;R$ 88,92;R$ 121,28;R$ 151,95
9;R$ 45,65;R$ 57,70;R$ 54,97;R$ 56,57;R$ 39,31;R$ 49,16;R$ 52,70;R$ 68,76;R$ 69,82
10;R$ 399,99;R$ 655,80;R$ 515,46;R$ 261,89;R$ 305,53;R$ 284,55;R$ 406,40;R$ 329,11;R$ 213,81
11;R$ 43,52;R$ 56,43;R$ 19,28;R$ 17,01;R$ 46,06;R$ 119,08;R$ 44,30;R$ 56,97;R$ 108,70
12;R$ 29,47;R$ 32,45;R$ 29,95;R$ 23,34;R$ 28,20;R$ 76,82;R$ 58,78;R$ 88,16;R$ 17,25
13;R$ 45,22;R$ 93,49;R$ 39,31;R$ 36,72;R$ 103,51;R$ 101,96;R$ 64,08;R$ 49,94;R$ 58,99
14;R$ 94,61;R$ 75,64;R$ 49,44;R$ 59,13;R$ 126,26;R$ 97,91;R$ 64,73;R$ 62,42;R$ 46,47
15;R$ 92,70;R$ 54,54;R$ 44,44;R$ 90,95;R$ 32,18;R$ 90,64;R$ 102,16;R$ 69,03;R$ 53,82
16;R$ 86,11;R$ 26,08;R$ 23,49;R$ 15,62;R$ 48,62;R$ 69,97;R$ 58,87;R$ 55,14;R$ 12,37
17;R$ 51,10;R$ 164,63;R$ 61,04;R$ 70,14;R$ 60,95;R$ 83,18;R$ 89,78;R$ 112,05;R$ 48,27
18;R$ 90,45;R$ 76,87;R$ 75,23;R$ 37,22;R$ 61,74;R$ 98,38;R$ 88,80;R$ 152,81;R$ 81,73
19;R$ 86,47;R$ 85,73;R$ 90,43;R$ 73,03;R$ 77,69;R$ 148,39;R$ 205,41;R$ 105,59;R$ 74,28
22;R$ 67,16;R$ 40,66;R$ 51,51;R$ 64,69;R$ 25,96;R$ 148,39;R$ 67,73;R$ 76,03;R$ 60,21
23;R$ 249,60;R$ 138,49;R$ 83,81;R$ 39,80;R$ 62,90;R$ 80,27;R$ 107,96;R$ 85,99;R$ 132,59
27;R$ 183,13;R$ 209,77;R$ 190,99;R$ 187,06;R$ 169,26;R$ 155,73;R$ 181,25;R$ 129,61;R$ 143,08
28;R$ 63,89;R$ 107,95;R$ 117,19;R$ 58,26;R$ 47,50;R$ 68,76;R$ 51,47;R$ 85,88;R$ 58,21
29;R$ 133,51;R$ 152,14;R$ 127,71;R$ 49,00;R$ 101,64;R$ 39,16;R$ 67,59;R$ 95,74;R$ 22,04
30;R$ 80,02;R$ 58,39;R$ 79,57;R$ 72,69;R$ 125,65;R$ 218,70;R$ 125,73;R$ 109,46;R$ 143,78
31;R$ 62,10;R$ 82,40;R$ 130,08;R$ 166,47;R$ 50,72;R$ 97,81;R$ 98,59;R$ 107,17;R$ 89,91
32;R$ 131,25;R$ 90,07;R$ 95,08;R$ 70,77;R$ 76,68;R$ 139,52;R$ 113,10;R$ 90,65;R$ 76,81
33;R$ 204,61;R$ 148,57;R$ 177,83;R$ 194,51;R$ 164,37;R$ 121,63;R$ 198,26;R$ 165,00;R$ 91,06
34;R$ 188,78;R$ 265,32;R$ 155,36;R$ 183,29;R$ 109,69;R$ 160,87;R$ 221,71;R$ 176,77;R$ 162,85
35;R$ 110,09;R$ 156,65;R$ 199,77;R$ 101,81;R$ 127,80;R$ 171,02;R$ 218,90;R$ 150,43;R$ 115,83
36;R$ 58,75;R$ 98,53;R$ 125,59;R$ 81,69;R$ 126,35;R$ 173,24;R$ 115,60;R$ 101,86;R$ 81,91
37;R$ 173,03;R$ 206,31;R$ 149,77;R$ 146,93;R$ 109,91;R$ 86,50;R$ 68,41;R$ 115,52;R$ 147,54
38;R$ 149,34;R$ 163,79;R$ 128,26;R$ 160,44;R$ 72,61;R$ 72,95;R$ 70,12;R$ 109,25;R$ 70,15
39;R$ 82,62;R$ 59,27;R$ 60,24;R$ 29,56;R$ 50,32;R$ 66,73;R$ 97,51;R$ 59,46;R$ 76,44
