Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
61533;20 BI 10CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 83,78; R$ -   ;Ok
110610;AAS 100MG 30CP (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;3;3;0;R$ 7,69; R$ -   ;Ok
742;AAS PROTECT 100MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;4;4;0;R$ 18,75; R$ -   ;Ok
374;ABC CR 20G;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;2;2;0;R$ 7,67; R$ -   ;Ok
1340;ABC SPRAY 30ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;2;2;0;R$ 18,63; R$ -   ;Ok
66536;ABIDOR BABY 200MG/ML 15ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;1;1;0;R$ 7,39; R$ -   ;Ok
62169;DIPIRONA SODICA  500MG C/ 10CP (GREEN);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;1427;1208;-219;R$ 1,65;-R$ 361,35;Perda
1086;ABLOK 50MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;3;3;0;R$ 28,81; R$ -   ;Ok
694;ABLOK PLUS 25/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 19,74; R$ -   ;Ok
1879;ABRILAR 7 MG/ML 100ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 36,17; R$ -   ;Ok
56402;ABRILAR HEDERA HELIX MENTOL L. 7MG/ML XPE 200ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 70,68; R$ -   ;Ok
