Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações;
119686;20 BI 10 SACHES 5G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 91,30; R$ -   ;Ok;
61533;20 BI 10CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 83,78; R$ -   ;Ok;
61663;20 BI 5CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 55,86; R$ -   ;Ok;
111198;AGULHA SR 25X7 CX 100UN (SRC);PRINCIPAL > 5 - PERFUMARIA > PRIMEIROS SOCORROS > AGULHA E SERINGAS;2700;0;-2700;R$ 8,81;-R$ 23.787,00;Ajustado;#N/D
742;AAS PROTECT 100MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;8;8;0;R$ 18,65; R$ -   ;Ok;
374;ABC CR 20G;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;4;4;0;R$ 7,30; R$ -   ;Ok;
1340;ABC SPRAY 30ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;1;1;0;R$ 18,07; R$ -   ;Ok;
66536;ABIDOR BABY 200MG/ML 15ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;3;3;0;R$ 5,10; R$ -   ;Ok;
580;ABLOK 25MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;3;3;0;R$ 2,70; R$ -   ;Ok;
1086;ABLOK 50MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;3;3;0;R$ 28,82; R$ -   ;Ok;
694;ABLOK PLUS 25/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;4;4;0;R$ 19,31; R$ -   ;Ok;
