Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
61533;20 BI 10CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 79,28; R$ -   ;Ok
61663;20 BI 5CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 53,17; R$ -   ;Ok
636;A SAUDE DA MULHER 150ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;4;4;0;R$ 15,17; R$ -   ;Ok
110610;AAS 100MG 30CP (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;4;4;0;R$ 7,66; R$ -   ;Ok
742;AAS PROTECT 100MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;2;2;0;R$ 17,73; R$ -   ;Ok
374;ABC CR 20G;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;2;2;0;R$ 7,08; R$ -   ;Ok
1340;ABC SPRAY 30ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;2;2;0;R$ 18,63; R$ -   ;Ok
66536;ABIDOR BABY 200MG/ML 15ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;7;7;0;R$ 4,69; R$ -   ;Ok
1991;ABLOK PLUS 100/25MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 51,00; R$ -   ;Ok
694;ABLOK PLUS 25/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 19,31; R$ -   ;Ok
1432;ABLOK PLUS 50/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 36,48; R$ -   ;Ok
1879;ABRILAR 7 MG/ML 100ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;2;2;0;R$ 36,59; R$ -   ;Ok
110639;ABS ADAPT DIURNO SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 14,23; R$ -   ;Ok
63498;ABS ADAPT SECA SEMPRE LIVRE C/ABAS C/ 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 21,44; R$ -   ;Ok
73784;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 11,59; R$ -   ;Ok
110635;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/16UND(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,22; R$ -   ;Ok
73586;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS LV16 PG14(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 6,48; R$ -   ;Ok
57398;ABS ADAPT SV SEMPRE LIVRE C/ABAS  C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 3,59; R$ -   ;Ok
57400;ABS ADAPT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 4,63; R$ -   ;Ok
57399;ABS ADAPT SV SEMPRE LIVRE S/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 3,46; R$ -   ;Ok
61979;ABS CONFORT MASTER MULT C/ 20UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;8;8;0;R$ 9,99; R$ -   ;Ok
59703;ABS COTTONBABY LADY C/ ABAS 16 UN;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;3;3;0;R$ 5,49; R$ -   ;Ok
59438;ABS COTTONBABY LADY C/ABAS C/8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 2,61; R$ -   ;Ok
59255;ABS COTTONBABY LADY S/ ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;8;8;0;R$ 2,72; R$ -   ;Ok
59431;ABS GER GERIAMAX POS PARTO C/20 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;58;58;0;R$ 10,93; R$ -   ;Ok
57391;ABS INT INTIMUS MEDIO C 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 7,34; R$ -   ;Ok
57392;ABS INT INTIMUS MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,07; R$ -   ;Ok
57393;ABS INT INTIMUS SUPER C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,34; R$ -   ;Ok
58228;ABS INT OB MEDIO L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,15; R$ -   ;Ok
58220;ABS INT OB ORIGINAL SUPER L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,15; R$ -   ;Ok
62746;ABS INT OB PROCOMFORT MEDIO C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 8,89; R$ -   ;Ok
62420;ABS INT OB PROCOMFORT MEDIO C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;6;1;R$ 14,10;R$ 14,10;Sobra Justificada
62001;ABS INT OB PROCOMFORT MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,32; R$ -   ;Ok
67968;ESC DENT  ORAL B ELET BATTERY CARROS 1UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > ESCOVAS DENTAIS ADUL;4;0;-4;R$ 157,86;-R$ 631,44;Perda
106670;ABS INTERNO INTIMUS MINI LV16 PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 14,22; R$ -   ;Ok
106671;ABS INTERNO INTIMUS SUPER LV16 PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 13,78; R$ -   ;Ok
111630;ABS LONGO KIMBERLY POISE ESCAPE DE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 7,24; R$ -   ;Ok
59600;ABS MAIS CONF NAT C/ABAS LV8PG7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;59;59;0;R$ 2,25; R$ -   ;Ok
61321;ABS MILI D&N COBERTURA SV C/16UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;3;3;0;R$ 6,13; R$ -   ;Ok
108385;ABS MILI DIA&NOITE  SUAVE C/ABAS 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 12,57; R$ -   ;Ok
77644;ABS MILI DIA&NOITE SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 3,22; R$ -   ;Ok
102156;ABS MILI NOTURNO  SUAVE CABAS 32 UNID;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 14,46; R$ -   ;Ok
108018;ABS MILI NOTURNO SUAVE C/ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 7,42; R$ -   ;Ok
77370;ABS MILI NOTURNO SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 3,91; R$ -   ;Ok
102584;ABS MILI P TOTAL SUAVE SUAVE C/AB 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;1;1;0;R$ 9,98; R$ -   ;Ok
108881;ABS MILI PROT TOTAL  SUAVE S/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;4;4;0;R$ 2,63; R$ -   ;Ok
108882;ABS MILI PROT TOTAL SECA C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 2,89; R$ -   ;Ok
60001;PICOLE KIBON TABLITO 70ML;PRINCIPAL > 6 - CONVENIÊNCIA > SORVETES;37;13;-24;R$ 7,88;-R$ 189,12;Perda
77643;ABS MILI PROT TOTAL SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 2,66; R$ -   ;Ok
59135;ABS NAT GEL MAIS S/ABAS  L8P7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;64;64;0;R$ 2,22; R$ -   ;Ok
71192;ABS NOIT TRANQ ALWAYS C/ ABAS XG 8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 9,83; R$ -   ;Ok
61164;ABS NOT ALWAYS ACT C/ ABAS SEC LV32P28;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 26,38; R$ -   ;Ok
63619;ABS NOT SECA  INTIMUS C/ ABAS C /30UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;5;5;0;R$ 15,65; R$ -   ;Ok
61596;ABS NOT SV  ALWAYS C/ ABAS 32 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 25,72; R$ -   ;Ok
60121;ABS NOT SV ALWAYS  C/ ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 13,51; R$ -   ;Ok
71484;ABS NOT SV ALWAYS  C/ABAS LV10PG8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,63; R$ -   ;Ok
61222;ABS NOT SV ALWAYS C/ ABAS L8P7;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 7,82; R$ -   ;Ok
57390;ABS NOT SV INTIMUS  C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 5,34; R$ -   ;Ok
63652;ABS NOT SV INTIMUS C/ ABAS  C/ 30UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;9;9;0;R$ 16,01; R$ -   ;Ok
57397;ABS NOT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 7,03; R$ -   ;Ok
59257;ABS NOT SV SEMPRE LIVRE C/ABAS L32P24UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 21,24; R$ -   ;Ok
111632;ABS NOTURNO KIMBERLY POISE ESCAPE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 9,71; R$ -   ;Ok
111631;ABS NOTURNO MAX KIMBERLY POISE ESCAPE URINA 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;3;3;0;R$ 21,47; R$ -   ;Ok
66424;ABS P/SEIOS CREMER LV30PG24UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;3;3;0;R$ 19,05; R$ -   ;Ok
61683;ABS SECA  ALWAYS C/ABAS 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 12,70; R$ -   ;Ok
61551;ABS SECA ALWAYS  C/ ABAS 16 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 6,55; R$ -   ;Ok
61636;ABS SEIO YORK C/ 12UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;2;2;0;R$ 9,62; R$ -   ;Ok
62095;ABS SEMPRE LIVRE NOT.  C/ABAS SV C/ 16UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 12,66; R$ -   ;Ok
61552;ABS SV ALWAYS  C/ ABAS 16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 6,63; R$ -   ;Ok
62278;ABS SV ALWAYS C/ ABAS C/32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 12,42; R$ -   ;Ok
63618;ABS SV D&N  INTIMUS C/ABAS C/28UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 16,79; R$ -   ;Ok
65906;ABS SV INTIMUS 2 EM 1 C/ABAS C/8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 9,53; R$ -   ;Ok
57387;ABS TR PRO SECA INTIMUS C/ABAS  C/8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 2,65; R$ -   ;Ok
58470;ABS TR PRO SECA INTIMUS C/ABAS C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 6,21; R$ -   ;Ok
59018;ABS TR PRO SV INTIMUS C/ABAS  32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 10,03; R$ -   ;Ok
58469;ABS TR PRO SV INTIMUS C/ABAS  C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 5,29; R$ -   ;Ok
64010;ABS ULTRAF ANTIBAC INTIMUS C/ 14UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 6,03; R$ -   ;Ok
64011;ABS ULTRAF INTIMUS C/ ABAS C/28UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 10,55; R$ -   ;Ok
66295;ABSORVENTE ALWAYS SUAVE TAM P COM ABAS LEVE10 PAGUE8;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 3,71; R$ -   ;Ok
110628;ABSORVENTE INCONTINENCIA PLENITUD FEMME NORTURN C/ABAS 8 UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;3;3;0;R$ 7,66; R$ -   ;Ok
58465;ABSORVENTE INTIMUS COBERTURA SECA SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 3,43; R$ -   ;Ok
57388;ABSORVENTE INTIMUS TP COBERTURA SUAVE COM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;8;8;0;R$ 2,92; R$ -   ;Ok
57389;ABSORVENTE INTIMUS TP COBERTURA SUAVE SEM ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 2,81; R$ -   ;Ok
59968;ABSORVENTE NOTURNO ALWAYS SECA COM ABAS 16 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 13,65; R$ -   ;Ok
63760;ABSORVENTE TENA LADY DISCREET MAXI NIGHT 6 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;4;4;0;R$ 13,97; R$ -   ;Ok
62421;ABSORVENTE ULTRA PLENITUD FEMME 8 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;4;4;0;R$ 10,22; R$ -   ;Ok
64442;ACALENTUS 250 MG C/ 60CP;PRINCIPAL > 3 - SIMILARES > SIM_LIBERADO;1;1;0;R$ 34,76; R$ -   ;Ok
961;ACALMIL FITO C/ 20CP REV;PRINCIPAL > 3 - SIMILARES > SIM USO CONT;1;1;0;R$ 11,17; R$ -   ;Ok
73598;ACEBROFILINA 25MG/5ML XPE PED 120ML (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX;4;4;0;R$ 7,52; R$ -   ;Ok
592;ACEBROFILINA 25MG/5ML XPE PED 120ML (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX ONE;2;2;0;R$ 6,99; R$ -   ;Ok
401;ACEBROFILINA 25MG/5ML XPE PED 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 9,99; R$ -   ;Ok
73261;ACEBROFILINA 25MG/5ML XPE PED 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;3;3;0;R$ 8,48; R$ -   ;Ok
118222;ACEBROFILINA 25MG/5ML XPE PED 120ML (NEOQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 9,44; R$ -   ;Ok
118239;ACEBROFILINA 25MG/5ML XPE PED 120ML (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 8,86; R$ -   ;Ok
118242;ACEBROFILINA 50MG/5ML XPE ADT 120ML (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 13,41; R$ -   ;Ok
73552;ACEBROFILINA 50MG/ML XPE ADT 120ML (ACHE);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 12,41; R$ -   ;Ok
950;ACEBROFILINA 50MG/ML XPE ADT 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;1;1;0;R$ 15,82; R$ -   ;Ok
73363;ACEBROFILINA 50MG/ML XPE ADT 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 10,59; R$ -   ;Ok
118178;ACEBROFILINA 50MG/ML XPE ADT 120ML (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;1;1;0;R$ 14,86; R$ -   ;Ok
73764;ACEBROFILINA 50MG/ML XPE ADT 120ML (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;1;1;0;R$ 10,79; R$ -   ;Ok
73778;ACECLOFENACO 100MG 12CP (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 4,29; R$ -   ;Ok
73553;ACECLOFENACO 100MG 12CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 7,60; R$ -   ;Ok
102249;ACECLOFENACO 100MG 12CP (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;1;1;0;R$ 10,00; R$ -   ;Ok
118240;ACECLOFENACO 100MG 12CP (NOVAQ);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 9,18; R$ -   ;Ok
118182;ACECLOFENACO 15MG/G 30G (GERMED);PRINCIPAL > 2 - GENÉRICOS > GEN_RX;2;2;0;R$ 25,88; R$ -   ;Ok
603;ACERATUM GTS 10ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;3;3;0;R$ 12,76; R$ -   ;Ok
65951;ACERTANLO 3,5MG/2,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 54,95; R$ -   ;Ok
63608;ACERTANLO 7 MG/5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;5;5;0;R$ 64,12; R$ -   ;Ok
59707;ACERTIL 10MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 80,43; R$ -   ;Ok
68975;ACERTIL 10MG C/60CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 155,56; R$ -   ;Ok
509;ACETILCISTEINA 100MG 16 ENVELOPES 5G (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;4;4;0;R$ 16,80; R$ -   ;Ok
394;ACETILCISTEINA 100MG/ML INJ 5 AMPOLAS 3ML (UNIAOQ);PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;3;3;0;R$ 18,41; R$ -   ;Ok
791;ACETILCISTEINA 200MG 16 ENVELOPES 5G (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;3;3;0;R$ 23,06; R$ -   ;Ok
73929;ACETILCISTEINA 20MG/ML XPE PED 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC SEM ONE;5;5;0;R$ 10,45; R$ -   ;Ok
103484;ACETILCISTEINA 20MG/ML XPE PED 120ML (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;2;2;0;R$ 10,09; R$ -   ;Ok
102016;ACETILCISTEINA 20MG/ML XPE PED 120ML (UNIAOQ);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;2;2;0;R$ 10,73; R$ -   ;Ok
73408;ACETILCISTEINA 40MG/ML XPE ADT 120ML (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;7;7;0;R$ 11,08; R$ -   ;Ok
63948;ACETILCISTEINA 40MG/ML XPE ADT 120ML (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;1;1;0;R$ 17,04; R$ -   ;Ok
73406;ACETILCISTEINA 40MG/ML XPE ADT 120ML (LEGRAND);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;2;2;0;R$ 10,53; R$ -   ;Ok
73436;ACETILCISTEINA 600MG 16 ENVELOPES 5G (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN_OTC/MIP;5;5;0;R$ 25,25; R$ -   ;Ok
1595;ACETILCISTEINA 600MG 16 ENVELOPES 5G (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ULT ONE;2;2;0;R$ 25,20; R$ -   ;Ok
