Cod Int;Descri��o;Classifica��o;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observa��es;
61533;20 BI 10CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;1;1;0;R$ 75,73; R$ -   ;Ok;
61663;20 BI 5CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;2;2;0;R$ 52,97; R$ -   ;Ok;
636;A SAUDE DA MULHER 150ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 15,24; R$ -   ;Ok;
96;AAS 100MG 30CP (EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;2;2;0;R$ 9,12; R$ -   ;Ok;
110610;AAS 100MG 30CP (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;1;1;0;R$ 7,72; R$ -   ;Ok;
742;AAS PROTECT 100MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 18,77; R$ -   ;Ok;
374;ABC CR 20G;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;3;3;0;R$ 7,67; R$ -   ;Ok;
1340;ABC SPRAY 30ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;2;2;0;R$ 19,35; R$ -   ;Ok;
580;ABLOK 25MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 2,57; R$ -   ;Ok;
1086;ABLOK 50MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 28,81; R$ -   ;Ok;
694;ABLOK PLUS 25/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;5;5;0;R$ 19,11; R$ -   ;Ok;
1432;ABLOK PLUS 50/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;4;4;0;R$ 34,91; R$ -   ;Ok;
1879;ABRILAR 7 MG/ML 100ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 36,93; R$ -   ;Ok;
110639;ABS ADAPT DIURNO SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;6;6;0;R$ 14,39; R$ -   ;Ok;
